양력(일),음력,일출몰,,,월출몰,,,시민박명,,항해박명,,천문박명,
,,출,남중,몰,출,남중,몰,출,몰,출,몰,출,몰
20220501,04-01,05:39,12:31:13,19:24,05:49,12:46,19:52,05:11,19:52,04:37,20:26,04:01,21:03
20220502,04-02,05:38,12:31:06,19:25,06:18,13:32,20:54,05:10,19:53,04:35,20:28,03:59,21:04
20220503,04-03,05:37,12:31:00,19:26,06:51,14:19,21:55,05:08,19:54,04:34,20:29,03:58,21:05
20220504,04-04,05:36,12:30:54,19:27,07:28,15:08,22:53,05:07,19:55,04:33,20:30,03:56,21:07
20220505,04-05,05:35,12:30:49,19:28,08:12,15:59,23:47,05:06,19:56,04:31,20:31,03:55,21:08
20220506,04-06,05:33,12:30:44,19:29,09:02,16:50,--:--,05:05,19:57,04:30,20:32,03:53,21:09
20220507,04-07,05:32,12:30:40,19:29,09:57,17:40,00:35,05:04,19:58,04:29,20:33,03:52,21:11
20220508,04-08,05:31,12:30:36,19:30,10:56,18:29,01:17,05:03,19:59,04:28,20:34,03:50,21:12
20220509,04-09,05:30,12:30:33,19:31,11:57,19:16,01:53,05:02,20:00,04:26,20:35,03:49,21:13
20220510,04-10,05:29,12:30:31,19:32,13:00,20:01,02:25,05:00,20:01,04:25,20:37,03:47,21:15
20220511,04-11,05:28,12:30:29,19:33,14:04,20:46,02:53,04:59,20:02,04:24,20:38,03:46,21:16
20220512,04-12,05:27,12:30:27,19:34,15:08,21:32,03:19,04:58,20:03,04:23,20:39,03:44,21:17
20220513,04-13,05:27,12:30:26,19:35,16:15,22:18,03:45,04:57,20:04,04:22,20:40,03:43,21:19
20220514,04-14,05:26,12:30:26,19:36,17:25,23:07,04:11,04:56,20:05,04:21,20:41,03:42,21:20
20220515,04-15,05:25,12:30:26,19:37,18:38,--:--,04:40,04:55,20:06,04:20,20:42,03:40,21:21
20220516,04-16,05:24,12:30:27,19:37,19:55,00:00,05:14,04:55,20:07,04:18,20:43,03:39,21:23
20220517,04-17,05:23,12:30:28,19:38,21:12,00:58,05:54,04:54,20:08,04:17,20:44,03:38,21:24
20220518,04-18,05:22,12:30:30,19:39,22:26,02:00,06:44,04:53,20:09,04:16,20:45,03:37,21:25
20220519,04-19,05:22,12:30:33,19:40,23:31,03:05,07:44,04:52,20:10,04:15,20:46,03:36,21:26
20220520,04-20,05:21,12:30:36,19:41,--:--,04:10,08:52,04:51,20:11,04:14,20:47,03:34,21:28
20220521,04-21,05:20,12:30:39,19:42,00:25,05:12,10:05,04:50,20:12,04:14,20:48,03:33,21:29
20220522,04-22,05:19,12:30:43,19:42,01:08,06:10,11:18,04:50,20:12,04:13,20:49,03:32,21:30
20220523,04-23,05:19,12:30:48,19:43,01:44,07:02,12:28,04:49,20:13,04:12,20:50,03:31,21:31
20220524,04-24,05:18,12:30:53,19:44,02:13,07:49,13:35,04:48,20:14,04:11,20:51,03:30,21:33
20220525,04-25,05:18,12:30:59,19:45,02:39,08:34,14:38,04:47,20:15,04:10,20:52,03:29,21:34
20220526,04-26,05:17,12:31:05,19:46,03:04,09:17,15:41,04:47,20:16,04:09,20:53,03:28,21:35
20220527,04-27,05:16,12:31:12,19:46,03:28,10:00,16:42,04:46,20:17,04:09,20:54,03:27,21:36
20220528,04-28,05:16,12:31:19,19:47,03:53,10:43,17:44,04:46,20:18,04:08,20:55,03:26,21:37
20220529,04-29,05:15,12:31:27,19:48,04:20,11:28,18:45,04:45,20:18,04:07,20:56,03:25,21:38
20220530,05-01,05:15,12:31:35,19:49,04:51,12:15,19:46,04:44,20:19,04:07,20:57,03:25,21:39
20220531,05-02,05:15,12:31:44,19:49,05:27,13:03,20:45,04:44,20:20,04:06,20:58,03:24,21:40
